team_id,team,group,rating,attack_posterior_mean,defense_posterior_mean,matches_observed_2026,goals_for_observed_2026,goals_against_observed_2026,players,avg_age,total_caps,total_international_goals,p_top2,p_advance_group,p_champion_rough,data_version
czech-republic,Czech Republic,Group A,1550.5,1.112,1.567,3,2,6,26,27.23,723,98,0.0,0.0,0.0,wc26-20260630T073859z
mexico,Mexico,Group A,1648.4,1.818,0.61,3,6,0,26,27.5,1215,117,1.0,1.0,0.0322,wc26-20260630T073859z
south-africa,South Africa,Group A,1552.3,0.975,1.119,4,2,4,26,26.35,483,61,1.0,1.0,0.0244,wc26-20260630T073859z
south-korea,South Korea,Group A,1508.8,1.061,1.185,3,2,3,26,27.46,958,143,0.0,0.0,0.0,wc26-20260630T073859z
bosnia-and-herzegovina,Bosnia & Herzegovina,Group B,1568.8,1.564,1.547,3,5,6,26,25.96,597,93,0.0,1.0,0.0257,wc26-20260630T073859z
canada,Canada,Group B,1547.4,1.845,0.999,4,9,3,26,26.46,953,133,1.0,1.0,0.024,wc26-20260630T073859z
qatar,Qatar,Group B,1525.4,1.081,2.166,3,2,10,26,28.92,1425,208,0.0,0.0,0.0,wc26-20260630T073859z
switzerland,Switzerland,Group B,1615.4,1.913,1.071,3,7,3,26,27.81,1132,124,1.0,1.0,0.0295,wc26-20260630T073859z
brazil,Brazil,Group C,1806.5,2.197,0.669,4,9,2,26,28.81,916,152,1.0,1.0,0.0449,wc26-20260630T073859z
haiti,Haiti,Group C,1506.5,1.058,1.902,3,2,8,26,27.0,624,115,0.0,0.0,0.0,wc26-20260630T073859z
morocco,Morocco,Group C,1611.3,1.669,1.065,4,7,4,26,26.12,698,98,1.0,1.0,0.0292,wc26-20260630T073859z
scotland,Scotland,Group C,1532.8,0.947,1.3,3,1,4,26,28.73,973,98,0.0,0.0,0.0,wc26-20260630T073859z
australia,Australia,Group D,1541.5,1.101,1.005,3,2,2,26,26.88,734,74,1.0,1.0,0.0235,wc26-20260630T073859z
