year,name,matches,teams,goals,avg_goals,champion,source,data_version
1930,World Cup 1930,18,13,70,3.89,Uruguay,openfootball_worldcup_json,wc26-20260614T013159z
1934,World Cup 1934,17,16,70,4.12,Italy,openfootball_worldcup_json,wc26-20260614T013159z
1938,World Cup 1938,19,15,84,4.42,Italy,openfootball_worldcup_json,wc26-20260614T013159z
1950,World Cup 1950,22,13,88,4.0,Uruguay,openfootball_worldcup_json,wc26-20260614T013159z
1954,World Cup 1954,26,16,140,5.38,Germany,openfootball_worldcup_json,wc26-20260614T013159z
1958,World Cup 1958,35,16,126,3.6,Brazil,openfootball_worldcup_json,wc26-20260614T013159z
1962,World Cup 1962,32,16,89,2.78,Brazil,openfootball_worldcup_json,wc26-20260614T013159z
1966,World Cup 1966,32,16,89,2.78,England,openfootball_worldcup_json,wc26-20260614T013159z
1970,World Cup 1970,32,16,95,2.97,Brazil,openfootball_worldcup_json,wc26-20260614T013159z
1974,World Cup 1974,38,16,97,2.55,Germany,openfootball_worldcup_json,wc26-20260614T013159z
1978,World Cup 1978,38,16,102,2.68,Argentina,openfootball_worldcup_json,wc26-20260614T013159z
1982,World Cup 1982,52,24,146,2.81,Italy,openfootball_worldcup_json,wc26-20260614T013159z
1986,World Cup 1986,52,24,132,2.54,Argentina,openfootball_worldcup_json,wc26-20260614T013159z
1990,World Cup 1990,52,24,115,2.21,Germany,openfootball_worldcup_json,wc26-20260614T013159z
1994,World Cup 1994,52,24,141,2.71,Brazil,openfootball_worldcup_json,wc26-20260614T013159z
1998,World Cup 1998,64,32,171,2.67,France,openfootball_worldcup_json,wc26-20260614T013159z
2002,World Cup 2002,64,32,161,2.52,Brazil,openfootball_worldcup_json,wc26-20260614T013159z
2006,World Cup 2006,64,32,147,2.3,Italy,openfootball_worldcup_json,wc26-20260614T013159z
2010,World Cup 2010,64,32,145,2.27,Spain,openfootball_worldcup_json,wc26-20260614T013159z
2014,World Cup 2014,64,32,171,2.67,Germany,openfootball_worldcup_json,wc26-20260614T013159z
2018,World Cup 2018,64,32,169,2.64,France,openfootball_worldcup_json,wc26-20260614T013159z
2022,World Cup 2022,64,32,172,2.69,Argentina,openfootball_worldcup_json,wc26-20260614T013159z
