team_id,team,player,goals,years,opponents,data_version
argentina,Argentina,Lionel Messi,11,"2014, 2022","Australia, Bosnia & Herzegovina, Croatia, France, Iran, Mexico, Netherlands, Nigeria",wc26-20260618T013005z
brazil,Brazil,Leônidas,8,"1934, 1938","Czech Republic, Poland, Spain, Sweden",wc26-20260618T013005z
france,France,Kylian Mbappé,8,"2018, 2022","Argentina, Australia, Denmark",wc26-20260618T013005z
argentina,Argentina,Stábile,8,1930,"Chile, Mexico, USA, Uruguay",wc26-20260618T013005z
brazil,Brazil,Ademir,8,1950,"Mexico, Spain, Sweden, Yugoslavia",wc26-20260618T013005z
brazil,Brazil,Neymar,7,"2014, 2018, 2022","Cameroon, Croatia, Mexico, South Korea",wc26-20260618T013005z
czech-republic,Czech Republic,Nejedlý,7,"1934, 1938","Brazil, Germany, Netherlands, Romania, Switzerland",wc26-20260618T013005z
hungary,Hungary,Sárosi,6,"1934, 1938","Austria, Dutch East Indies, Italy, Sweden, Switzerland",wc26-20260618T013005z
ecuador,Ecuador,Enner Valencia,6,"2014, 2022","Honduras, Netherlands, Qatar, Switzerland",wc26-20260618T013005z
france,France,Olivier Giroud,5,"2014, 2022","Australia, England, Poland, Switzerland",wc26-20260618T013005z
hungary,Hungary,Zsengellér,5,1938,"Dutch East Indies, Sweden, Switzerland",wc26-20260618T013005z
germany,Germany,Thomas Müller,5,2014,"Brazil, Portugal, USA",wc26-20260618T013005z
italy,Italy,Piola,5,1938,"France, Hungary, Norway",wc26-20260618T013005z
uruguay,Uruguay,Míguez,5,1950,"Bolivia, Sweden",wc26-20260618T013005z
england,England,Kane,5,2018,"Panama, Tunisia",wc26-20260618T013005z
colombia,Colombia,James Rodríguez,5,2014,"Greece, Ivory Coast, Japan, Uruguay",wc26-20260618T013005z
uruguay,Uruguay,Cea,5,1930,"Argentina, Romania, Yugoslavia",wc26-20260618T013005z
croatia,Croatia,Ivan Perišić,4,"2014, 2018, 2022","Cameroon, England, Japan, Mexico",wc26-20260618T013005z
switzerland,Switzerland,Xherdan Shaqiri,4,"2014, 2022","Honduras, Serbia",wc26-20260618T013005z
france,France,Mbappé,4,"2018, 2022","Croatia, Peru, Poland",wc26-20260618T013005z
croatia,Croatia,Mario Mandžukić,4,"2014, 2018","Cameroon, Denmark, England",wc26-20260618T013005z
switzerland,Switzerland,Abegglen,4,"1934, 1938","Germany, Netherlands",wc26-20260618T013005z
spain,Spain,Zarra,4,1950,"Chile, England, Sweden, USA",wc26-20260618T013005z
poland,Poland,Wilimowski,4,1938,Brazil,wc26-20260618T013005z
italy,Italy,Schiavio,4,1934,"Czech Republic, USA",wc26-20260618T013005z
portugal,Portugal,Ronaldo,4,2018,"Morocco, Spain",wc26-20260618T013005z
netherlands,Netherlands,Robin Van Persie,4,2014,"Australia, Brazil, Spain",wc26-20260618T013005z
usa,USA,Patenaude,4,1930,"Belgium, Paraguay",wc26-20260618T013005z
argentina,Argentina,Julián Álvarez,4,2022,"Australia, Croatia, Poland",wc26-20260618T013005z
uruguay,Uruguay,Ghiggia,4,1950,"Bolivia, Brazil, Spain, Sweden",wc26-20260618T013005z
germany,Germany,Conen,4,1934,"Austria, Belgium",wc26-20260618T013005z
italy,Italy,Colaussi,4,1938,"Brazil, France, Hungary",wc26-20260618T013005z
brazil,Brazil,Chico,4,1950,"Spain, Sweden",wc26-20260618T013005z
spain,Spain,Basora,4,1950,"Chile, USA, Uruguay",wc26-20260618T013005z
hungary,Hungary,Toldi,3,"1934, 1938","Dutch East Indies, Egypt",wc26-20260618T013005z
france,France,Nicolas,3,"1934, 1938","Austria, Belgium",wc26-20260618T013005z
netherlands,Netherlands,Memphis Depay,3,"2014, 2022","Australia, Chile, USA",wc26-20260618T013005z
italy,Italy,Meazza,3,"1934, 1938","Brazil, Spain, USA",wc26-20260618T013005z
sweden,Sweden,Jonasson,3,"1934, 1938","Argentina, Brazil",wc26-20260618T013005z
england,England,Harry Kane,3,"2018, 2022","Colombia, France, Senegal",wc26-20260618T013005z
uruguay,Uruguay,Edinson Cavani,3,"2014, 2018","Costa Rica, Portugal",wc26-20260618T013005z
romania,Romania,Dobay,3,"1934, 1938","Cuba, Czech Republic",wc26-20260618T013005z
ghana,Ghana,André Ayew,3,"2014, 2022","Germany, Portugal, USA",wc26-20260618T013005z
croatia,Croatia,Andrej Kramarić,3,"2018, 2022","Canada, Russia",wc26-20260618T013005z
spain,Spain,Álvaro Morata,3,2022,"Costa Rica, Germany, Japan",wc26-20260618T013005z
sweden,Sweden,Wetterström,3,1938,Cuba,wc26-20260618T013005z
sweden,Sweden,Sundqvist,3,1950,"Paraguay, Spain, Uruguay",wc26-20260618T013005z
uruguay,Uruguay,Schiaffino,3,1950,"Bolivia, Brazil",wc26-20260618T013005z
brazil,Brazil,Romeu,3,1938,"Italy, Poland, Sweden",wc26-20260618T013005z
brazil,Brazil,Richarlison,3,2022,"Serbia, South Korea",wc26-20260618T013005z
brazil,Brazil,Preguinho,3,1930,"Bolivia, Yugoslavia",wc26-20260618T013005z
argentina,Argentina,Peucelle,3,1930,"USA, Uruguay",wc26-20260618T013005z
brazil,Brazil,Perácio,3,1938,"Poland, Sweden",wc26-20260618T013005z
sweden,Sweden,Palmér,3,1950,"Paraguay, Spain, Uruguay",wc26-20260618T013005z
italy,Italy,Orsi,3,1934,"Czech Republic, USA",wc26-20260618T013005z
sweden,Sweden,Nyberg,3,1938,"Brazil, Cuba, Hungary",wc26-20260618T013005z
switzerland,Switzerland,Kielholz,3,1934,"Czech Republic, Netherlands",wc26-20260618T013005z
france,France,Karim Benzema,3,2014,"Honduras, Switzerland",wc26-20260618T013005z
sweden,Sweden,H. Andersson,3,1938,Cuba,wc26-20260618T013005z
portugal,Portugal,Gonçalo Ramos,3,2022,Switzerland,wc26-20260618T013005z
netherlands,Netherlands,Cody Gakpo,3,2022,"Ecuador, Qatar, Senegal",wc26-20260618T013005z
russia,Russia,Cheryshev,3,2018,"Egypt, Saudi Arabia",wc26-20260618T013005z
england,England,Bukayo Saka,3,2022,"Iran, Senegal",wc26-20260618T013005z
yugoslavia,Yugoslavia,Bek,3,1930,"Bolivia, Brazil",wc26-20260618T013005z
netherlands,Netherlands,Arjen Robben,3,2014,"Australia, Spain",wc26-20260618T013005z
uruguay,Uruguay,Anselmo,3,1930,"Romania, Yugoslavia",wc26-20260618T013005z
argentina,Argentina,Ángel Di María,2,"2018, 2022",France,wc26-20260618T013005z
tunisia,Tunisia,Wahbi Khazri,2,"2018, 2022","France, Panama",wc26-20260618T013005z
brazil,Brazil,Thiago Silva,2,"2014, 2018","Colombia, Serbia",wc26-20260618T013005z
portugal,Portugal,Pepe,2,"2018, 2022","Switzerland, Uruguay",wc26-20260618T013005z
belgium,Belgium,Marouane Fellaini,2,"2014, 2018","Algeria, Japan",wc26-20260618T013005z
argentina,Argentina,Marcos Rojo,2,"2014, 2018",Nigeria,wc26-20260618T013005z
south-korea,South Korea,Kim Young-gwon,2,"2018, 2022","Germany, Portugal",wc26-20260618T013005z
belgium,Belgium,Kevin De Bruyne,2,"2014, 2018","Brazil, USA",wc26-20260618T013005z
belgium,Belgium,Jan Vertonghen,2,"2014, 2018","Japan, South Korea",wc26-20260618T013005z
netherlands,Netherlands,Daley Blind,2,"2014, 2022","Brazil, USA",wc26-20260618T013005z
portugal,Portugal,Cristiano Ronaldo,2,"2014, 2022",Ghana,wc26-20260618T013005z
yugoslavia,Yugoslavia,Ž. Čajkovski,2,1950,Mexico,wc26-20260618T013005z
argentina,Argentina,Zumelzú,2,1930,Mexico,wc26-20260618T013005z
brazil,Brazil,Zizinho,2,1950,"Spain, Yugoslavia",wc26-20260618T013005z
france,France,Zidane,2,2006,"Italy, Portugal",wc26-20260618T013005z
morocco,Morocco,Youssef En-Nesyri,2,2022,"Canada, Portugal",wc26-20260618T013005z
colombia,Colombia,Y. Mina,2,2018,"Poland, Senegal",wc26-20260618T013005z
netherlands,Netherlands,Wout Werghost,2,2022,Argentina,wc26-20260618T013005z
ivory-coast,Ivory Coast,Wilfried Bony,2,2014,"Greece, Japan",wc26-20260618T013005z
yugoslavia,Yugoslavia,Vujadinović,2,1930,"Bolivia, Uruguay",wc26-20260618T013005z
belgium,Belgium,Voorhoof,2,1934,Germany,wc26-20260618T013005z
cameroon,Cameroon,Vincent Aboubakar,2,2022,"Brazil, Serbia",wc26-20260618T013005z
