team_id,team,appearances,matches,wins,draws,losses,goals_for,goals_against,goal_difference,titles,finals,win_rate,data_version
brazil,Brazil,22,114,79,14,21,237,108,129,5,6,0.693,wc26-20260616T193502z
germany,Germany,20,112,72,17,23,232,130,102,4,8,0.6429,wc26-20260616T193502z
italy,Italy,18,83,46,17,20,128,77,51,4,6,0.5542,wc26-20260616T193502z
argentina,Argentina,18,88,53,10,25,152,101,51,3,6,0.6023,wc26-20260616T193502z
france,France,16,73,41,9,23,136,85,51,2,4,0.5616,wc26-20260616T193502z
uruguay,Uruguay,14,59,26,12,21,89,76,13,2,1,0.4407,wc26-20260616T193502z
england,England,16,74,33,18,23,104,68,36,1,1,0.4459,wc26-20260616T193502z
spain,Spain,16,67,32,12,23,108,75,33,1,1,0.4776,wc26-20260616T193502z
netherlands,Netherlands,11,55,31,10,14,96,52,44,0,3,0.5636,wc26-20260616T193502z
belgium,Belgium,14,51,22,9,20,69,74,-5,0,0,0.4314,wc26-20260616T193502z
sweden,Sweden,12,51,20,12,19,80,73,7,0,1,0.3922,wc26-20260616T193502z
portugal,Portugal,8,35,18,5,12,61,41,20,0,0,0.5143,wc26-20260616T193502z
croatia,Croatia,6,30,17,4,9,43,33,10,0,1,0.5667,wc26-20260616T193502z
poland,Poland,9,38,17,6,15,49,50,-1,0,0,0.4474,wc26-20260616T193502z
mexico,Mexico,17,60,17,13,30,62,101,-39,0,0,0.2833,wc26-20260616T193502z
yugoslavia,Yugoslavia,9,37,16,7,14,60,46,14,0,0,0.4324,wc26-20260616T193502z
hungary,Hungary,9,32,15,3,14,87,57,30,0,2,0.4688,wc26-20260616T193502z
soviet-union,Soviet Union,7,31,15,6,10,53,34,19,0,0,0.4839,wc26-20260616T193502z
switzerland,Switzerland,12,41,14,7,20,55,73,-18,0,0,0.3415,wc26-20260616T193502z
czech-republic,Czech Republic,9,33,12,5,16,47,49,-2,0,2,0.3636,wc26-20260616T193502z
austria,Austria,7,29,12,4,13,43,47,-4,0,0,0.4138,wc26-20260616T193502z
chile,Chile,9,33,11,6,16,40,49,-9,0,0,0.3333,wc26-20260616T193502z
denmark,Denmark,6,23,9,5,9,31,29,2,0,0,0.3913,wc26-20260616T193502z
colombia,Colombia,6,22,9,2,11,32,30,2,0,0,0.4091,wc26-20260616T193502z
usa,USA,11,37,9,8,20,40,66,-26,0,0,0.2432,wc26-20260616T193502z
romania,Romania,7,21,8,3,10,30,32,-2,0,0,0.381,wc26-20260616T193502z
paraguay,Paraguay,8,27,8,9,10,30,38,-8,0,0,0.2963,wc26-20260616T193502z
south-korea,South Korea,11,38,8,9,21,39,78,-39,0,0,0.2105,wc26-20260616T193502z
japan,Japan,7,25,7,4,14,25,33,-8,0,0,0.28,wc26-20260616T193502z
costa-rica,Costa Rica,6,21,7,3,11,22,39,-17,0,0,0.3333,wc26-20260616T193502z
morocco,Morocco,6,23,6,6,11,20,27,-7,0,0,0.2609,wc26-20260616T193502z
nigeria,Nigeria,6,21,6,3,12,23,30,-7,0,0,0.2857,wc26-20260616T193502z
russia,Russia,4,14,5,2,7,24,20,4,0,0,0.3571,wc26-20260616T193502z
turkey,Turkey,2,10,5,1,4,20,17,3,0,0,0.5,wc26-20260616T193502z
ecuador,Ecuador,4,13,5,2,6,14,14,0,0,0,0.3846,wc26-20260616T193502z
senegal,Senegal,3,12,5,3,4,16,17,-1,0,0,0.4167,wc26-20260616T193502z
ghana,Ghana,4,15,5,2,8,18,23,-5,0,0,0.3333,wc26-20260616T193502z
peru,Peru,5,18,5,3,10,21,33,-12,0,0,0.2778,wc26-20260616T193502z
cameroon,Cameroon,8,26,5,8,13,22,47,-25,0,0,0.1923,wc26-20260616T193502z
scotland,Scotland,8,23,4,7,12,25,41,-16,0,0,0.1739,wc26-20260616T193502z
australia,Australia,6,20,4,4,12,17,37,-20,0,0,0.2,wc26-20260616T193502z
saudi-arabia,Saudi Arabia,6,19,4,2,13,14,44,-30,0,0,0.2105,wc26-20260616T193502z
bulgaria,Bulgaria,7,26,4,7,15,22,53,-31,0,0,0.1538,wc26-20260616T193502z
ireland,Ireland,3,13,3,6,4,10,10,0,0,0,0.2308,wc26-20260616T193502z
ivory-coast,Ivory Coast,3,9,3,1,5,13,14,-1,0,0,0.3333,wc26-20260616T193502z
ukraine,Ukraine,1,5,3,0,2,5,7,-2,0,0,0.6,wc26-20260616T193502z
algeria,Algeria,4,13,3,3,7,13,19,-6,0,0,0.2308,wc26-20260616T193502z
northern-ireland,Northern Ireland,3,13,3,5,5,13,23,-10,0,0,0.2308,wc26-20260616T193502z
tunisia,Tunisia,6,18,3,5,10,14,26,-12,0,0,0.1667,wc26-20260616T193502z
iran,Iran,6,18,3,4,11,13,31,-18,0,0,0.1667,wc26-20260616T193502z
east-germany,East Germany,1,6,2,2,2,5,5,0,0,0,0.3333,wc26-20260616T193502z
norway,Norway,3,8,2,3,3,7,8,-1,0,0,0.25,wc26-20260616T193502z
south-africa,South Africa,3,9,2,4,3,11,16,-5,0,0,0.2222,wc26-20260616T193502z
serbia,Serbia,3,9,2,1,6,9,15,-6,0,0,0.2222,wc26-20260616T193502z
greece,Greece,3,10,2,1,7,5,20,-15,0,0,0.2,wc26-20260616T193502z
bosnia-and-herzegovina,Bosnia & Herzegovina,1,3,1,0,2,4,4,0,0,0,0.3333,wc26-20260616T193502z
slovakia,Slovakia,1,4,1,1,2,5,7,-2,0,0,0.25,wc26-20260616T193502z
wales,Wales,2,8,1,4,3,5,10,-5,0,0,0.125,wc26-20260616T193502z
slovenia,Slovenia,2,6,1,1,4,5,10,-5,0,0,0.1667,wc26-20260616T193502z
jamaica,Jamaica,1,3,1,0,2,3,9,-6,0,0,0.3333,wc26-20260616T193502z
cuba,Cuba,1,3,1,1,1,5,12,-7,0,0,0.3333,wc26-20260616T193502z
north-korea,North Korea,2,7,1,1,5,6,21,-15,0,0,0.1429,wc26-20260616T193502z
1a,1A,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
1b,1B,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
1c,1C,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
1d,1D,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
1e,1E,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
1f,1F,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
1g,1G,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
1h,1H,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
1i,1I,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
1j,1J,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
1k,1K,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
1l,1L,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
2a,2A,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
2b,2B,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
2c,2C,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
2d,2D,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
2e,2E,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
2f,2F,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
2g,2G,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
2h,2H,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
2i,2I,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
2j,2J,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
2k,2K,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
2l,2L,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
3a-b-c-d-f,3A/B/C/D/F,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
3a-e-h-i-j,3A/E/H/I/J,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
3b-e-f-i-j,3B/E/F/I/J,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
3c-d-f-g-h,3C/D/F/G/H,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
3c-e-f-h-i,3C/E/F/H/I,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
3d-e-i-j-l,3D/E/I/J/L,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
3e-f-g-i-j,3E/F/G/I/J,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
3e-h-i-j-k,3E/H/I/J/K,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
cape-verde,Cape Verde,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
cura-ao,Curaçao,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
dr-congo,DR Congo,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
jordan,Jordan,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
l101,L101,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
l102,L102,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
uzbekistan,Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w100,W100,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w101,W101,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w102,W102,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w73,W73,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w74,W74,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w75,W75,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w76,W76,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w77,W77,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w78,W78,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w79,W79,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w80,W80,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w81,W81,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w82,W82,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w83,W83,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w84,W84,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w85,W85,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w86,W86,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w87,W87,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w88,W88,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w89,W89,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w90,W90,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w91,W91,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w92,W92,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w93,W93,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w94,W94,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w95,W95,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w96,W96,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w97,W97,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w98,W98,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
w99,W99,0,0,0,0,0,0,0,0,0,0,0,wc26-20260616T193502z
angola,Angola,1,3,0,2,1,1,2,-1,0,0,0.0,wc26-20260616T193502z
israel,Israel,1,3,0,2,1,1,3,-2,0,0,0.0,wc26-20260616T193502z
iraq,Iraq,1,3,0,0,3,1,4,-3,0,0,0.0,wc26-20260616T193502z
iceland,Iceland,1,3,0,1,2,2,5,-3,0,0,0.0,wc26-20260616T193502z
kuwait,Kuwait,1,3,0,1,2,2,6,-4,0,0,0.0,wc26-20260616T193502z
trinidad-and-tobago,Trinidad and Tobago,1,3,0,1,2,0,4,-4,0,0,0.0,wc26-20260616T193502z
togo,Togo,1,3,0,0,3,1,6,-5,0,0,0.0,wc26-20260616T193502z
qatar,Qatar,1,3,0,0,3,1,7,-6,0,0,0.0,wc26-20260616T193502z
dutch-east-indies,Dutch East Indies,1,1,0,0,1,0,6,-6,0,0,0.0,wc26-20260616T193502z
egypt,Egypt,3,7,0,2,5,5,12,-7,0,0,0.0,wc26-20260616T193502z
serbia-and-montenegro,Serbia and Montenegro,1,3,0,0,3,2,10,-8,0,0,0.0,wc26-20260616T193502z
united-arab-emirates,United Arab Emirates,1,3,0,0,3,2,11,-9,0,0,0.0,wc26-20260616T193502z
china,China,1,3,0,0,3,0,9,-9,0,0,0.0,wc26-20260616T193502z
panama,Panama,1,3,0,0,3,2,11,-9,0,0,0.0,wc26-20260616T193502z
new-zealand,New Zealand,2,6,0,3,3,4,14,-10,0,0,0.0,wc26-20260616T193502z
canada,Canada,2,6,0,0,6,2,12,-10,0,0,0.0,wc26-20260616T193502z
honduras,Honduras,3,9,0,3,6,3,14,-11,0,0,0.0,wc26-20260616T193502z
haiti,Haiti,1,3,0,0,3,2,14,-12,0,0,0.0,wc26-20260616T193502z
zaire,Zaire,1,3,0,0,3,0,14,-14,0,0,0.0,wc26-20260616T193502z
bolivia,Bolivia,3,6,0,1,5,1,20,-19,0,0,0.0,wc26-20260616T193502z
el-salvador,El Salvador,2,6,0,0,6,1,22,-21,0,0,0.0,wc26-20260616T193502z
