historical_match_id,year,round,date,team1,team2,score,winner,ground,data_version
hist-1930-0001,1930,Matchday 1,1930-07-13,France,Mexico,4-1,France,"Estadio Pocitos, Montevideo",wc26-20260621T130433z
hist-1930-0002,1930,Matchday 3,1930-07-15,Argentina,France,1-0,Argentina,"Estadio Parque Central, Montevideo",wc26-20260621T130433z
hist-1930-0003,1930,Matchday 4,1930-07-16,Chile,Mexico,3-0,Chile,"Estadio Parque Central, Montevideo",wc26-20260621T130433z
hist-1930-0004,1930,Matchday 7,1930-07-19,Chile,France,1-0,Chile,"Estadio Centenario, Montevideo",wc26-20260621T130433z
hist-1930-0005,1930,Matchday 7,1930-07-19,Argentina,Mexico,6-3,Argentina,"Estadio Centenario, Montevideo",wc26-20260621T130433z
hist-1930-0006,1930,Matchday 10,1930-07-22,Argentina,Chile,3-1,Argentina,"Estadio Centenario, Montevideo",wc26-20260621T130433z
hist-1930-0007,1930,Matchday 2,1930-07-14,Yugoslavia,Brazil,2-1,Yugoslavia,"Estadio Parque Central, Montevideo",wc26-20260621T130433z
hist-1930-0008,1930,Matchday 5,1930-07-17,Yugoslavia,Bolivia,4-0,Yugoslavia,"Estadio Parque Central, Montevideo",wc26-20260621T130433z
hist-1930-0009,1930,Matchday 8,1930-07-20,Brazil,Bolivia,4-0,Brazil,"Estadio Centenario, Montevideo",wc26-20260621T130433z
hist-1930-0010,1930,Matchday 2,1930-07-14,Romania,Peru,3-1,Romania,"Estadio Pocitos, Montevideo",wc26-20260621T130433z
hist-1930-0011,1930,Matchday 6,1930-07-18,Uruguay,Peru,1-0,Uruguay,"Estadio Centenario, Montevideo",wc26-20260621T130433z
hist-1930-0012,1930,Matchday 9,1930-07-21,Uruguay,Romania,4-0,Uruguay,"Estadio Centenario, Montevideo",wc26-20260621T130433z
hist-1930-0013,1930,Matchday 1,1930-07-13,USA,Belgium,3-0,USA,"Estadio Parque Central, Montevideo",wc26-20260621T130433z
hist-1930-0014,1930,Matchday 5,1930-07-17,USA,Paraguay,3-0,USA,"Estadio Parque Central, Montevideo",wc26-20260621T130433z
hist-1930-0015,1930,Matchday 8,1930-07-20,Paraguay,Belgium,1-0,Paraguay,"Estadio Centenario, Montevideo",wc26-20260621T130433z
hist-1930-0016,1930,Semi-finals,1930-07-26,Argentina,USA,6-1,Argentina,"Estadio Centenario, Montevideo",wc26-20260621T130433z
hist-1930-0017,1930,Semi-finals,1930-07-27,Uruguay,Yugoslavia,6-1,Uruguay,"Estadio Centenario, Montevideo",wc26-20260621T130433z
hist-1930-0018,1930,Final,1930-07-30,Uruguay,Argentina,4-2,Uruguay,"Estadio Centenario, Montevideo",wc26-20260621T130433z
