team_id,team,number,position,name,birth_date,age,caps,goals,club,source,data_version
algeria,Algeria,1,GK,Melvin Mastil,,26,2,0,Stade Nyonnais,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,2,DF,Aïssa Mandi,,34,119,8,Lille,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,3,DF,Achref Abada,,26,9,1,USM Alger,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,4,DF,Mohamed Amine Tougai,,26,30,2,Espérance de Tunis,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,5,DF,Zineddine Belaïd,,27,18,1,JS Kabylie,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,6,MF,Ramiz Zerrouki,,28,53,3,Twente,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,7,FW,Riyad Mahrez (captain),,35,116,38,Al-Ahli,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,8,MF,Houssem Aouar,,27,22,6,Al-Ittihad,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,9,FW,Amine Gouiri,,26,23,10,Marseille,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,10,MF,Farès Chaïbi,,23,31,3,Eintracht Frankfurt,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,11,FW,Anis Hadj Moussa,,24,15,2,Feyenoord,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,12,FW,Nadhir Benbouali,,26,4,1,Győri ETO,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,13,DF,Jaouen Hadjam,,23,18,3,Young Boys,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,14,MF,Hicham Boudaoui,,26,34,0,Nice,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,15,DF,Rayan Aït-Nouri,,25,30,0,Manchester City,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,16,GK,Oussama Benbot,,31,5,0,USM Alger,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,17,DF,Rafik Belghali,,24,13,1,Hellas Verona,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,18,FW,Mohamed Amoura,,26,47,19,VfL Wolfsburg,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,19,MF,Nabil Bentaleb,,31,60,6,Lille,wikipedia_2026_squads,wc26-20260702T012119z
algeria,Algeria,20,FW,Adil Boulbina,,23,12,6,Al-Duhail,wikipedia_2026_squads,wc26-20260702T012119z
