match_id,round,date,time,team1,team2,group,ground,status,score_team1,score_team2,data_version
wc26-001,Matchday 1,2026-06-11,13:00 UTC-6,Mexico,South Africa,Group A,Mexico City,final,2,0,wc26-20260624T130833z
wc26-002,Matchday 1,2026-06-11,20:00 UTC-6,South Korea,Czech Republic,Group A,Guadalajara (Zapopan),final,2,1,wc26-20260624T130833z
wc26-003,Matchday 8,2026-06-18,12:00 UTC-4,Czech Republic,South Africa,Group A,Atlanta,final,1,1,wc26-20260624T130833z
wc26-004,Matchday 8,2026-06-18,19:00 UTC-6,Mexico,South Korea,Group A,Guadalajara (Zapopan),final,1,0,wc26-20260624T130833z
wc26-005,Matchday 14,2026-06-24,19:00 UTC-6,Czech Republic,Mexico,Group A,Mexico City,scheduled,,,wc26-20260624T130833z
wc26-006,Matchday 14,2026-06-24,19:00 UTC-6,South Africa,South Korea,Group A,Monterrey (Guadalupe),scheduled,,,wc26-20260624T130833z
wc26-007,Matchday 2,2026-06-12,15:00 UTC-4,Canada,Bosnia & Herzegovina,Group B,Toronto,final,1,1,wc26-20260624T130833z
wc26-008,Matchday 3,2026-06-13,12:00 UTC-7,Qatar,Switzerland,Group B,San Francisco Bay Area (Santa Clara),final,1,1,wc26-20260624T130833z
wc26-009,Matchday 8,2026-06-18,12:00 UTC-7,Switzerland,Bosnia & Herzegovina,Group B,Los Angeles (Inglewood),final,4,1,wc26-20260624T130833z
wc26-010,Matchday 8,2026-06-18,15:00 UTC-7,Canada,Qatar,Group B,Vancouver,final,6,0,wc26-20260624T130833z
wc26-011,Matchday 14,2026-06-24,12:00 UTC-7,Switzerland,Canada,Group B,Vancouver,scheduled,,,wc26-20260624T130833z
wc26-012,Matchday 14,2026-06-24,12:00 UTC-7,Bosnia & Herzegovina,Qatar,Group B,Seattle,scheduled,,,wc26-20260624T130833z
wc26-013,Matchday 3,2026-06-13,18:00 UTC-4,Brazil,Morocco,Group C,New York/New Jersey (East Rutherford),final,1,1,wc26-20260624T130833z
wc26-014,Matchday 3,2026-06-13,21:00 UTC-4,Haiti,Scotland,Group C,Boston (Foxborough),final,0,1,wc26-20260624T130833z
wc26-015,Matchday 9,2026-06-19,18:00 UTC-4,Scotland,Morocco,Group C,Boston (Foxborough),final,0,1,wc26-20260624T130833z
wc26-016,Matchday 9,2026-06-19,20:30 UTC-4,Brazil,Haiti,Group C,Philadelphia,final,3,0,wc26-20260624T130833z
wc26-017,Matchday 14,2026-06-24,18:00 UTC-4,Scotland,Brazil,Group C,Miami (Miami Gardens),scheduled,,,wc26-20260624T130833z
wc26-018,Matchday 14,2026-06-24,18:00 UTC-4,Morocco,Haiti,Group C,Atlanta,scheduled,,,wc26-20260624T130833z
wc26-019,Matchday 2,2026-06-12,18:00 UTC-7,USA,Paraguay,Group D,Los Angeles (Inglewood),final,4,1,wc26-20260624T130833z
wc26-020,Matchday 3,2026-06-13,21:00 UTC-7,Australia,Turkey,Group D,Vancouver,final,2,0,wc26-20260624T130833z
wc26-021,Matchday 9,2026-06-19,12:00 UTC-7,USA,Australia,Group D,Seattle,final,2,0,wc26-20260624T130833z
wc26-022,Matchday 9,2026-06-19,20:00 UTC-7,Turkey,Paraguay,Group D,San Francisco Bay Area (Santa Clara),final,0,1,wc26-20260624T130833z
wc26-023,Matchday 15,2026-06-25,19:00 UTC-7,Turkey,USA,Group D,Los Angeles (Inglewood),scheduled,,,wc26-20260624T130833z
wc26-024,Matchday 15,2026-06-25,19:00 UTC-7,Paraguay,Australia,Group D,San Francisco Bay Area (Santa Clara),scheduled,,,wc26-20260624T130833z
wc26-025,Matchday 4,2026-06-14,12:00 UTC-5,Germany,Curaçao,Group E,Houston,final,7,1,wc26-20260624T130833z
wc26-026,Matchday 4,2026-06-14,19:00 UTC-4,Ivory Coast,Ecuador,Group E,Philadelphia,final,1,0,wc26-20260624T130833z
wc26-027,Matchday 10,2026-06-20,16:00 UTC-4,Germany,Ivory Coast,Group E,Toronto,final,2,1,wc26-20260624T130833z
wc26-028,Matchday 10,2026-06-20,19:00 UTC-5,Ecuador,Curaçao,Group E,Kansas City,final,0,0,wc26-20260624T130833z
wc26-029,Matchday 15,2026-06-25,16:00 UTC-4,Curaçao,Ivory Coast,Group E,Philadelphia,scheduled,,,wc26-20260624T130833z
