match_id,team1,team2,home_win,draw,away_win,expected_goals_home,expected_goals_away,data_version
wc26-001,Mexico,South Africa,0.5106,0.2705,0.2189,1.427,0.831,wc26-20260628T125107z
wc26-002,South Korea,Czech Republic,0.3974,0.2732,0.3293,1.29,1.148,wc26-20260628T125107z
wc26-003,Czech Republic,South Africa,0.3124,0.2713,0.4163,1.116,1.333,wc26-20260628T125107z
wc26-004,Mexico,South Korea,0.5285,0.2658,0.2057,1.468,0.804,wc26-20260628T125107z
wc26-005,Czech Republic,Mexico,0.1811,0.2398,0.5791,0.824,1.688,wc26-20260628T125107z
wc26-006,South Africa,South Korea,0.3735,0.2873,0.3392,1.159,1.09,wc26-20260628T125107z
wc26-007,Canada,Bosnia & Herzegovina,0.4669,0.2346,0.2985,1.735,1.346,wc26-20260628T125107z
wc26-008,Qatar,Switzerland,0.1942,0.2104,0.5954,1.076,2.036,wc26-20260628T125107z
wc26-009,Switzerland,Bosnia & Herzegovina,0.4747,0.2365,0.2889,1.72,1.294,wc26-20260628T125107z
wc26-010,Canada,Qatar,0.5892,0.2098,0.201,2.054,1.119,wc26-20260628T125107z
wc26-011,Switzerland,Canada,0.3868,0.2462,0.367,1.488,1.443,wc26-20260628T125107z
wc26-012,Bosnia & Herzegovina,Qatar,0.5028,0.2279,0.2693,1.841,1.293,wc26-20260628T125107z
wc26-013,Brazil,Morocco,0.4887,0.2545,0.2569,1.547,1.048,wc26-20260628T125107z
wc26-014,Haiti,Scotland,0.3258,0.2678,0.4063,1.173,1.343,wc26-20260628T125107z
wc26-015,Scotland,Morocco,0.2537,0.2586,0.4877,1.012,1.511,wc26-20260628T125107z
wc26-016,Brazil,Haiti,0.6616,0.1999,0.1385,2.052,0.814,wc26-20260628T125107z
wc26-017,Scotland,Brazil,0.1672,0.2377,0.5951,0.77,1.697,wc26-20260628T125107z
wc26-018,Morocco,Haiti,0.5509,0.2288,0.2203,1.827,1.07,wc26-20260628T125107z
wc26-019,USA,Paraguay,0.4638,0.2483,0.2879,1.586,1.197,wc26-20260628T125107z
wc26-020,Australia,Turkey,0.3839,0.2777,0.3385,1.236,1.143,wc26-20260628T125107z
wc26-021,USA,Australia,0.4264,0.262,0.3117,1.419,1.174,wc26-20260628T125107z
wc26-022,Turkey,Paraguay,0.3702,0.2677,0.3621,1.277,1.26,wc26-20260628T125107z
wc26-023,Turkey,USA,0.2933,0.2405,0.4662,1.276,1.668,wc26-20260628T125107z
wc26-024,Paraguay,Australia,0.3307,0.2871,0.3822,1.072,1.175,wc26-20260628T125107z
wc26-025,Germany,Curaçao,0.6546,0.1882,0.1572,2.273,1.025,wc26-20260628T125107z
wc26-026,Ivory Coast,Ecuador,0.3822,0.2885,0.3293,1.167,1.061,wc26-20260628T125107z
wc26-027,Germany,Ivory Coast,0.4476,0.2482,0.3041,1.569,1.25,wc26-20260628T125107z
wc26-028,Ecuador,Curaçao,0.5084,0.2566,0.235,1.538,0.957,wc26-20260628T125107z
wc26-029,Curaçao,Ivory Coast,0.2126,0.2398,0.5476,0.963,1.703,wc26-20260628T125107z
wc26-030,Ecuador,Germany,0.2757,0.252,0.4724,1.129,1.559,wc26-20260628T125107z
wc26-031,Netherlands,Japan,0.4489,0.2351,0.3159,1.709,1.401,wc26-20260628T125107z
wc26-032,Sweden,Tunisia,0.5811,0.2013,0.2177,2.207,1.295,wc26-20260628T125107z
wc26-033,Netherlands,Sweden,0.5272,0.2112,0.2616,2.082,1.424,wc26-20260628T125107z
wc26-034,Tunisia,Japan,0.1757,0.1984,0.6259,1.063,2.17,wc26-20260628T125107z
wc26-035,Japan,Sweden,0.4457,0.2316,0.3227,1.747,1.458,wc26-20260628T125107z
wc26-036,Tunisia,Netherlands,0.1301,0.1633,0.7067,1.038,2.587,wc26-20260628T125107z
wc26-037,Belgium,Egypt,0.4394,0.2597,0.3009,1.455,1.158,wc26-20260628T125107z
wc26-038,Iran,New Zealand,0.4603,0.2435,0.2962,1.63,1.261,wc26-20260628T125107z
wc26-039,Belgium,Iran,0.471,0.2622,0.2668,1.468,1.036,wc26-20260628T125107z
wc26-040,New Zealand,Egypt,0.2623,0.2294,0.5083,1.251,1.823,wc26-20260628T125107z
wc26-041,Egypt,Iran,0.402,0.2678,0.3302,1.336,1.184,wc26-20260628T125107z
wc26-042,New Zealand,Belgium,0.2021,0.2136,0.5843,1.094,2.003,wc26-20260628T125107z
wc26-043,Spain,Cape Verde,0.4812,0.2871,0.2317,1.298,0.806,wc26-20260628T125107z
wc26-044,Saudi Arabia,Uruguay,0.2793,0.2673,0.4534,1.046,1.41,wc26-20260628T125107z
wc26-045,Spain,Saudi Arabia,0.593,0.2457,0.1613,1.621,0.709,wc26-20260628T125107z
wc26-046,Uruguay,Cape Verde,0.3442,0.2822,0.3736,1.129,1.189,wc26-20260628T125107z
wc26-047,Cape Verde,Saudi Arabia,0.4559,0.281,0.2631,1.315,0.926,wc26-20260628T125107z
wc26-048,Uruguay,Spain,0.2219,0.2656,0.5126,0.864,1.466,wc26-20260628T125107z
wc26-049,France,Senegal,0.5465,0.2163,0.2372,1.997,1.253,wc26-20260628T125107z
wc26-050,Iraq,Norway,0.1971,0.1959,0.607,1.224,2.259,wc26-20260628T125107z
wc26-051,France,Iraq,0.7454,0.1542,0.1004,2.559,0.837,wc26-20260628T125107z
wc26-052,Norway,Senegal,0.3765,0.2195,0.404,1.763,1.83,wc26-20260628T125107z
wc26-053,Norway,France,0.2265,0.2099,0.5635,1.258,2.082,wc26-20260628T125107z
wc26-054,Senegal,Iraq,0.6164,0.1952,0.1884,2.25,1.174,wc26-20260628T125107z
wc26-055,Argentina,Algeria,0.6005,0.2138,0.1857,1.978,1.003,wc26-20260628T125107z
